Pkey,Year,State,TypeOfProducer,EnergySource,UseOfElectricity
80,1990,CT,Total Electric Power Industry,Other Gases (Billion BTU),0
87,1990,CT,Combined Heat and Power  Electric Power,Other Gases (Billion BTU),0
92,1990,DC,Total Electric Power Industry,Coal (Short Tons),0
95,1990,DC,Combined Heat and Power  Commercial Power,Coal (Short Tons),0
177,1990,IL,Combined Heat and Power  Commercial Power,Petroleum (Barrels),0
220,1990,LA,Combined Heat and Power  Electric Power,Petroleum (Barrels),0
268,1990,ME,Combined Heat and Power  Commercial Power,Coal (Short Tons),0
280,1990,MI,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
366,1990,NH,Total Electric Power Industry,Natural Gas (Mcf),0
369,1990,NH,Electric Generators  Electric Utilities,Natural Gas (Mcf),0
478,1990,RI,Total Electric Power Industry,Coal (Short Tons),0
481,1990,RI,Electric Generators  Electric Utilities,Coal (Short Tons),0
491,1990,SC,Total Electric Power Industry,Other Gases (Billion BTU),0
495,1990,SC,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
622,1990,US-TOTAL,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
680,1991,AZ,Combined Heat and Power  Commercial Power,Petroleum (Barrels),0
734,1991,DC,Total Electric Power Industry,Coal (Short Tons),0
737,1991,DC,Combined Heat and Power  Commercial Power,Coal (Short Tons),0
741,1991,DE,Total Electric Power Industry,Other Gases (Billion BTU),0
748,1991,DE,Combined Heat and Power  Industrial Power,Other Gases (Billion BTU),0
817,1991,IL,Combined Heat and Power  Commercial Power,Petroleum (Barrels),0
858,1991,LA,Electric Generators  Independent Power Producers,Petroleum (Barrels),0
894,1991,MD,Combined Heat and Power  Commercial Power,Petroleum (Barrels),0
906,1991,ME,Combined Heat and Power  Commercial Power,Coal (Short Tons),0
918,1991,MI,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
924,1991,MI,Combined Heat and Power  Electric Power,Other Gases (Billion BTU),0
1010,1991,NH,Total Electric Power Industry,Natural Gas (Mcf),0
1013,1991,NH,Electric Generators  Electric Utilities,Natural Gas (Mcf),0
1090,1991,OK,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
1105,1991,OR,Combined Heat and Power  Industrial Power,Coal (Short Tons),0
1129,1991,RI,Total Electric Power Industry,Coal (Short Tons),0
1132,1991,RI,Electric Generators  Electric Utilities,Coal (Short Tons),0
1141,1991,RI,Combined Heat and Power  Industrial Power,Petroleum (Barrels),0
1150,1991,SC,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
1279,1991,US-TOTAL,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
1389,1992,CT,Combined Heat and Power  Electric Power,Other Gases (Billion BTU),0
1394,1992,DC,Total Electric Power Industry,Coal (Short Tons),0
1397,1992,DC,Combined Heat and Power  Commercial Power,Coal (Short Tons),0
1568,1992,ME,Combined Heat and Power  Commercial Power,Coal (Short Tons),0
1580,1992,MI,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
1752,1992,OK,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
1791,1992,RI,Total Electric Power Industry,Coal (Short Tons),0
1794,1992,RI,Electric Generators  Electric Utilities,Coal (Short Tons),0
1810,1992,SC,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
1862,1992,UT,Combined Heat and Power  Industrial Power,Petroleum (Barrels),0
1947,1992,US-TOTAL,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
2019,1993,CA,Electric Generators  Independent Power Producers,Other Gases (Billion BTU),0
2043,1993,CO,Combined Heat and Power  Industrial Power,Petroleum (Barrels),0
2060,1993,DC,Total Electric Power Industry,Coal (Short Tons),0
2063,1993,DC,Combined Heat and Power  Commercial Power,Coal (Short Tons),0
2100,1993,GA,Electric Generators  Independent Power Producers,Natural Gas (Mcf),0
2238,1993,ME,Combined Heat and Power  Commercial Power,Coal (Short Tons),0
2251,1993,MI,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
2415,1993,OH,Combined Heat and Power  Commercial Power,Coal (Short Tons),0
2429,1993,OK,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
2470,1993,RI,Total Electric Power Industry,Coal (Short Tons),0
2473,1993,RI,Electric Generators  Electric Utilities,Coal (Short Tons),0
2490,1993,SC,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
2544,1993,UT,Combined Heat and Power  Industrial Power,Petroleum (Barrels),0
2628,1993,US-TOTAL,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
2723,1994,CO,Combined Heat and Power  Industrial Power,Petroleum (Barrels),0
2740,1994,DC,Total Electric Power Industry,Coal (Short Tons),0
2743,1994,DC,Combined Heat and Power  Commercial Power,Coal (Short Tons),0
2816,1994,ID,Electric Generators  Electric Utilities,Natural Gas (Mcf),0
2932,1994,MI,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
3115,1994,OK,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
3156,1994,RI,Total Electric Power Industry,Coal (Short Tons),0
3160,1994,RI,Electric Generators  Electric Utilities,Coal (Short Tons),0
3179,1994,SC,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
3233,1994,UT,Combined Heat and Power  Industrial Power,Petroleum (Barrels),0
3321,1994,US-TOTAL,Electric Generators  Electric Utilities,Other Gases (Billion BTU),0
3436,1995,DC,Total Electric Power Industry,Coal (Short Tons),0
