PKEY,YEAR,STATE,TYPEOFPRODUCER,ENERGYSOURCE,USEOFELECTRICITY
1,1990,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,792457493
2,1990,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,218800036
3,1990,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,3691562664
4,1990,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,111750
5,1991,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,793665533
6,1991,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,203669399
7,1991,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,3764778423
8,1991,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,125485
9,1992,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,805140460
10,1992,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,172240963
11,1992,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,3899718018
12,1992,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,141279
13,1993,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,842153209
14,1993,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,192461848
15,1993,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,3928652566
16,1993,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,136230
17,1994,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,848796074
18,1994,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM  BARRELS,183617804
19,1994,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS  MCF,4367148403
20,1994,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES  BILLION BTU,136381
21,1995,US-TOTAL,TOTAL ELECTRIC POWER INDUSTRY,COAL  SHORT TONS,860594050
