PKEY,YEAR,STATE,TYPEOFPRODUCER,ENERGYSOURCE,C02,S02,N0X
1,1990,AK,COMMERCIAL COGEN,ALL SOURCES,824004,13198,3011
2,1990,AK,COMMERCIAL COGEN,COAL,821929,13191,3009
3,1990,AK,COMMERCIAL COGEN,PETROLEUM,2075,6,2
4,1990,AK,COMMERCIAL NON-COGEN,ALL SOURCES,0,149,42
5,1990,AK,COMMERCIAL NON-COGEN,PETROLEUM,0,149,42
6,1990,AK,ELECTRIC UTILITY,ALL SOURCES,2814130,2403,7837
7,1990,AK,ELECTRIC UTILITY,COAL,646430,832,2881
8,1990,AK,ELECTRIC UTILITY,NATURAL GAS,1886585,9,4364
9,1990,AK,ELECTRIC UTILITY,PETROLEUM,281115,1562,592
10,1990,AK,INDUSTRIAL COGEN,ALL SOURCES,176547,2968,791
11,1990,AK,INDUSTRIAL COGEN,NATURAL GAS,127455,1,308
12,1990,AK,INDUSTRIAL COGEN,OTHER,0,983,220
13,1990,AK,INDUSTRIAL COGEN,PETROLEUM,49092,1984,263
14,1990,AK,INDUSTRIAL NON-COGEN,ALL SOURCES,394128,23,881
15,1990,AK,INDUSTRIAL NON-COGEN,NATURAL GAS,388618,1,866
16,1990,AK,INDUSTRIAL NON-COGEN,OTHER,0,1,9
17,1990,AK,INDUSTRIAL NON-COGEN,PETROLEUM,5510,21,5
18,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,4208809,18741,12562
19,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,COAL,1468359,14023,5890
20,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,2402658,11,5538
21,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,OTHER,0,984,229
22,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,337792,3723,904
23,1990,AL,ELECTRIC UTILITY,ALL SOURCES,50160812,467522,204197
24,1990,AL,ELECTRIC UTILITY,COAL,49880908,467393,203687
25,1990,AL,ELECTRIC UTILITY,NATURAL GAS,223787,1,448
26,1990,AL,ELECTRIC UTILITY,PETROLEUM,56117,129,63
27,1990,AL,INDUSTRIAL COGEN,ALL SOURCES,2517869,32103,11625
28,1990,AL,INDUSTRIAL COGEN,COAL,1527201,16568,5979
29,1990,AL,INDUSTRIAL COGEN,NATURAL GAS,802719,4,1566
30,1990,AL,INDUSTRIAL COGEN,OTHER,15962,14191,3882
31,1990,AL,INDUSTRIAL COGEN,PETROLEUM,171987,1340,198
32,1990,AL,INDUSTRIAL NON-COGEN,ALL SOURCES,9177,0,16
33,1990,AL,INDUSTRIAL NON-COGEN,NATURAL GAS,9177,0,16
34,1990,AL,IPP NAICS-22 COGEN,ALL SOURCES,248205,5904,2581
35,1990,AL,IPP NAICS-22 COGEN,COAL,171365,1267,734
36,1990,AL,IPP NAICS-22 COGEN,NATURAL GAS,76840,0,179
37,1990,AL,IPP NAICS-22 COGEN,OTHER,0,4637,1669
38,1990,AL,IPP NAICS-22 NON-COGEN,OTHER,0,0,0
39,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,52936063,505530,218419
40,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,COAL,51579474,485229,210395
41,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,1112523,5,2209
42,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,OTHER,15962,18828,5555
43,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,228104,1469,260
44,1990,AR,COMMERCIAL COGEN,ALL SOURCES,23987,2,138
45,1990,AR,COMMERCIAL COGEN,NATURAL GAS,21142,0,92
46,1990,AR,COMMERCIAL COGEN,OTHER,0,0,43
47,1990,AR,COMMERCIAL COGEN,PETROLEUM,2845,2,3
48,1990,AR,ELECTRIC UTILITY,ALL SOURCES,21900923,62774,101992
49,1990,AR,ELECTRIC UTILITY,COAL,20100009,62609,97849
50,1990,AR,ELECTRIC UTILITY,NATURAL GAS,1734286,8,4072
51,1990,AR,ELECTRIC UTILITY,PETROLEUM,66628,157,71
52,1990,AR,INDUSTRIAL COGEN,ALL SOURCES,1500892,14688,6675
53,1990,AR,INDUSTRIAL COGEN,COAL,250873,3930,910
54,1990,AR,INDUSTRIAL COGEN,NATURAL GAS,1222896,5,2578
55,1990,AR,INDUSTRIAL COGEN,OTHER,15961,10659,3169
56,1990,AR,INDUSTRIAL COGEN,PETROLEUM,11162,94,18
57,1990,AR,INDUSTRIAL NON-COGEN,ALL SOURCES,0,1,592
58,1990,AR,INDUSTRIAL NON-COGEN,NATURAL GAS,0,1,592
59,1990,AR,INDUSTRIAL NON-COGEN,PETROLEUM,0,0,0
60,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,ALL SOURCES,23425802,77465,109397
61,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,COAL,20350882,66538,98759
62,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,2978324,15,7335
63,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,OTHER,15961,10659,3212
